"","SqlTrace"
"13812","exec sp_cursoroption 180220559,1,0"
"13813","exec sp_cursorfetch 180220559,16,1,1"
"13814","exec sp_cursorclose 180220559"
"13815","declare @p1 int
set @p1=180220561
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT *, IsNull(GMP_POSTAL.VenteSeul, 0) as VenteSeulement, IsNull(GMP_POSTAL.PasService, 1) as PasService, IsNull(GMP_POSTAL.SiSPA, 0) as SiSPA FROM HS_Client WITH(NOLOCK) LEFT JOIN GMP_POSTAL ON GMP_POSTAL.Postal = left(REPLACE(HS_Client.ZIP, '' '', ''''), (select max(LEN(Postal)) from GMP_POSTAL Where Postal = LEFT(REPLACE(HS_Client.ZIP, '' '', ''''), LEN(gmp_Postal.Postal)))) WHERE HS_Client.CUSTNMBR = ''CL00780522''  AND HS_Client.ADRSCODE = ''SERVICE'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13816","exec sp_cursorfetch 180220561,16,1,1"
"13817","declare @p1 int
set @p1=180220563
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'  SELECT (AGPERAMT_2+AGPERAMT_3) as Tot3089, (AGPERAMT_4+AGPERAMT_5+AGPERAMT_6+AGPERAMT_7) as Tot90Plus  FROM HYSEC..RM00103 WHERE CUSTNMBR=''CR01673807''     AND CUSTBLNC > 0 ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13818","exec sp_cursorfetch 180220563,16,1,1"
"13819","exec sp_cursorclose 180220563"
"13820","declare @p1 int
set @p1=180220565
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' select CUSTNMBR from HS_CHANGEMENT_ADRESSE  where CUSTNMBR =''CL00780522''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13821","exec sp_cursorfetch 180220565,16,1,1"
"13822","exec sp_cursorclose 180220565"
"13823","exec sp_cursorclose 180220561"
"13824","declare @p1 int
set @p1=180220567
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT FName + '' '' + LName FROM GMP_USAGERS WHERE UsagerID = ''ED50617'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13825","exec sp_cursorfetch 180220567,16,1,1"
"13826","exec sp_cursorclose 180220567"
"13827","declare @p1 int
set @p1=180220569
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM sv000805  WHERE CustNmbr = ''CL00780522''   AND AdrsCode = ''SERVICE''   AND Service_Call_ID = ''160927-0780''   AND WS_Note_Type = ''S''   AND Note_Service_Index = ''5''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13828","exec sp_cursoroption 180220569,1,0"
"13829","exec sp_cursorfetch 180220569,16,1,1"
"13830","exec sp_cursorclose 180220569"
"13831","declare @p1 int
set @p1=180220571
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM sv000805  WHERE CustNmbr = ''CL00780522''   AND AdrsCode = ''SERVICE''   AND Reference_ID = ''160927-0780''   AND WS_Note_Type = ''S''   AND Note_Service_Index = ''5''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13832","exec sp_cursoroption 180220571,1,0"
"13833","exec sp_cursorfetch 180220571,16,1,1"
"13834","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"13835","INSERT INTO sv000805 (        CustNmbr, AdrsCode, Reference_ID, Service_Call_ID       , Ws_Note_Type, Note_Service_Index, Note_Author       , Reminder, Reminder_Date, Reminder_Finish, Date1       , Time1, CustName, UserName, MdfUsrID, Record_Notes,Reminder_Author ) VALUES(   'CL00780522'   , 'SERVICE'   , '160927-0780'   , '160927-0780'   , 'S'   , '5'   , 'ed50617'   , '0'   , CONVERT(DATETIME,'1900-01-01 00:00:00')   , CONVERT(DATETIME,'1900-01-01')   , CONVERT(DATETIME,'2016-11-10')   , '13:41:48'   , 'SUCCESSION GAGNE RONALD'   , 'Evelyne Djuikom'   , 'ed50617'   , 'Compte transféré à Nawel Benazza V par ed50617 via le gestionnaire de tâches, pour toute information ou si un client appel veuillez communiquer avec Nawel Benazza V.'   , '')"
"13836","INSERT INTO sv000805 (        CustNmbr, AdrsCode, Reference_ID, Service_Call_ID       , Ws_Note_Type, Note_Service_Index, Note_Author       , Reminder, Reminder_Date, Reminder_Finish, Date1       , Time1, CustName, UserName, MdfUsrID, Record_Notes,Reminder_Author ) VALUES(   'CL00780522'   , 'SERVICE'   , '160927-0780'   , '160927-0780'   , 'S'   , '5'   , 'ed50617'   , '0'   , CONVERT(DATETIME,'1900-01-01 00:00:00')   , CONVERT(DATETIME,'1900-01-01')   , CONVERT(DATETIME,'2016-11-10')   , '13:41:48'   , 'SUCCESSION GAGNE RONALD'   , 'Evelyne Djuikom'   , 'ed50617'   , 'Compte transféré à Nawel Benazza V par ed50617 via le gestionnaire de tâches, pour toute information ou si un client appel veuillez communiquer avec Nawel Benazza V.'   , '')"
"13837","exec sp_cursorclose 180220571"
"13838","declare @p1 int
set @p1=180220573
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT SUM(Estimate_Hours) FROM HS_Tache WHERE CUSTNMBR = ''CL00780522'' AND Service_Call_ID = ''160927-0780''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13839","exec sp_cursorfetch 180220573,16,1,1"
"13840","exec sp_cursorclose 180220573"
"13841","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"13842","UPDATE SV00301 SET Estimate_Hours = '0' WHERE Service_Call_ID = '160927-0780'"
"13843","UPDATE SV00301 SET Estimate_Hours = '0' WHERE Service_Call_ID = '160927-0780'"
"13844","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"13845","UPDATE HS_Appel SET Call_Time = '0' WHERE Service_Call_ID = '160927-0780'"
"13846","UPDATE HS_Appel SET Call_Time = '0' WHERE Service_Call_ID = '160927-0780'"
"13847","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"13848","delete from HS_LISTE_TACHE  WHERE Service_Call_ID ='160927-0780' and Task_Code = 'U0004'"
"13849","delete from HS_LISTE_TACHE  WHERE Service_Call_ID ='160927-0780' and Task_Code = 'U0004'"
"13850","exec sp_cursorclose 180220555"
"13851","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"13852","update HS_Appel set UsagerResponsable= 'nb50642V' where Service_Call_ID= '160927-0780      '"
"13853","update HS_Appel set UsagerResponsable= 'nb50642V' where Service_Call_ID= '160927-0780      '"
"13854","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"13855","DELETE FROM HS_LISTE_TACHE  WHERE Service_Call_ID ='160927-0780'"
"13856","DELETE FROM HS_LISTE_TACHE  WHERE Service_Call_ID ='160927-0780'"
"13857","declare @p1 int
set @p1=180220575
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'select * from HS_LISTE_TACHE  WHERE Service_Call_ID =''160927-0780'' and Task_Code = ''FA0023     ''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13858","exec sp_cursorfetch 180220575,16,1,1"
"13859","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"13860","INSERT INTO hs_Liste_Tache   SELECT DISTINCT HS_Tache.DateMaximale AS DateMaximale         , HS_Tache.DateMinimale AS DateMinimale         , HS_Tache.Task_Description         , ISNULL(HS_Client.Service_Area,'') AS Service_Area         , ISNULL(HS_Client.User_Define_5a,'') AS User_Define_5a         , HS_Appel.CustNmbr AS CustNmbr         , HS_Appel.CustName AS CustName         , HS_Appel.AdrsCode AS AdrsCode         , HS_Appel.Call_Time         , HS_Appel.Service_Call_ID AS Service_Call_ID         , ISNULL(HS_Appel.UsagerResponsable,'') AS UsagerResponsable         , ISNULL(HS_Client.Service_User_Define_1,'') AS District         , HS_Tache.Task_Code         , HS_Tache.Task_Status         , HS_Appel.Type_of_Problem AS Type_of_Problem         , HS_Appel.Status_of_Call         , HS_Appel.Service_Description         , HS_Tache.Task_Line_Number AS SEQNUMBR         , HS_Appel.DateRdv         , HS_Appel.WSReserved_CB5         , HS_Client.Address1 AS Adresse         , ISNULL(HS_Produit.Contract_Number,'')as Contract_Number          , HS_Appel.Equipment_Type         , HS_Client.Address3         , HS_Client.User_Define_6a         , HS_Appel.Equipment_ID          , HS_Client.RegroupementID         , HS_Client.RegroupementUsagerID          , sv00560.Priority as Priority         , ''  FROM HS_Appel      LEFT JOIN HS_Tache ON HS_Tache.Service_Call_ID = HS_Appel.Service_Call_ID     LEFT JOIN HS_Client ON HS_Client.CustNmbr = HS_Appel.CustNmbr          AND HS_Client.AdrsCode = HS_Appel.AdrsCode     LEFT JOIN HS_Produit ON HS_Appel.Contract_Number = HS_Produit.Contract_Number     LEFT JOIN sv00560 on sv00560.Task_Code= HS_Tache.Task_Code  WHERE HS_Appel.Service_Call_ID ='160927-0780'     AND HS_Tache.Task_Code = 'FA0023     '     AND HS_Tache.Task_Status<>'COMPLETE'"
"13861","INSERT INTO hs_Liste_Tache   SELECT DISTINCT HS_Tache.DateMaximale AS DateMaximale         , HS_Tache.DateMinimale AS DateMinimale         , HS_Tache.Task_Description         , ISNULL(HS_Client.Service_Area,'') AS Service_Area         , ISNULL(HS_Client.User_Define_5a,'') AS User_Define_5a         , HS_Appel.CustNmbr AS CustNmbr         , HS_Appel.CustName AS CustName         , HS_Appel.AdrsCode AS AdrsCode         , HS_Appel.Call_Time         , HS_Appel.Service_Call_ID AS Service_Call_ID         , ISNULL(HS_Appel.UsagerResponsable,'') AS UsagerResponsable         , ISNULL(HS_Client.Service_User_Define_1,'') AS District         , HS_Tache.Task_Code         , HS_Tache.Task_Status         , HS_Appel.Type_of_Problem AS Type_of_Problem         , HS_Appel.Status_of_Call         , HS_Appel.Service_Description         , HS_Tache.Task_Line_Number AS SEQNUMBR         , HS_Appel.DateRdv         , HS_Appel.WSReserved_CB5         , HS_Client.Address1 AS Adresse         , ISNULL(HS_Produit.Contract_Number,'')as Contract_Number          , HS_Appel.Equipment_Type         , HS_Client.Address3         , HS_Client.User_Define_6a         , HS_Appel.Equipment_ID          , HS_Client.RegroupementID         , HS_Client.RegroupementUsagerID          , sv00560.Priority as Priority         , ''  FROM HS_Appel      LEFT JOIN HS_Tache ON HS_Tache.Service_Call_ID = HS_Appel.Service_Call_ID     LEFT JOIN HS_Client ON HS_Client.CustNmbr = HS_Appel.CustNmbr          AND HS_Client.AdrsCode = HS_Appel.AdrsCode     LEFT JOIN HS_Produit ON HS_Appel.Contract_Number = HS_Produit.Contract_Number     LEFT JOIN sv00560 on sv00560.Task_Code= HS_Tache.Task_Code  WHERE HS_Appel.Service_Call_ID ='160927-0780'     AND HS_Tache.Task_Code = 'FA0023     '     AND HS_Tache.Task_Status<>'COMPLETE'"
"13862","exec sp_cursorclose 180220575"
"13863","exec sp_cursorfetch 180220455,16,4,1"
"13864","declare @p1 int
set @p1=180220577
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT *, IsNull(GMP_POSTAL.VenteSeul, 0) as VenteSeulement, IsNull(GMP_POSTAL.PasService, 1) as PasService, IsNull(GMP_POSTAL.SiSPA, 0) as SiSPA FROM HS_Client WITH(NOLOCK) LEFT JOIN GMP_POSTAL ON GMP_POSTAL.Postal = left(REPLACE(HS_Client.ZIP, '' '', ''''), (select max(LEN(Postal)) from GMP_POSTAL Where Postal = LEFT(REPLACE(HS_Client.ZIP, '' '', ''''), LEN(gmp_Postal.Postal)))) WHERE HS_Client.CUSTNMBR = ''CL00152815     ''  AND HS_Client.ADRSCODE = ''SERVICE        '' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13865","exec sp_cursorfetch 180220577,16,1,1"
"13866","declare @p1 int
set @p1=180220579
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'  SELECT (AGPERAMT_2+AGPERAMT_3) as Tot3089, (AGPERAMT_4+AGPERAMT_5+AGPERAMT_6+AGPERAMT_7) as Tot90Plus  FROM HYSEC..RM00103 WHERE CUSTNMBR=''CR01371167''     AND CUSTBLNC > 0 ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13867","exec sp_cursorfetch 180220579,16,1,1"
"13868","exec sp_cursorclose 180220579"
"13869","declare @p1 int
set @p1=180220581
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select CUSTNMBR from HS_CHANGEMENT_ADRESSE  where CUSTNMBR =''CL00152815''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13870","exec sp_cursorfetch 180220581,16,1,1"
"13871","exec sp_cursorclose 180220581"
"13872","exec sp_cursorclose 180220577"
"13873","declare @p1 int
set @p1=180220583
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT HS_Appel.*, HS_Appel.*, HS_Appel.Service_Call_ID as Service_Call_ID, isnull(sv00310.Problem_ID, '''') as Problem_ID FROM HS_Appel WITH(NOLOCK) LEFT JOIN SV00310 WITH(NOLOCK) ON sv00310.Type_of_Problem= HS_Appel.Type_of_Problem WHERE HS_Appel.Service_Call_ID = ''160924-0831      '' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13874","exec sp_cursorfetch 180220583,16,1,1"
"13875","declare @p1 int
set @p1=180220585
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Task_Code FROM HS_Tache  WHERE Service_Call_ID = ''160924-0831''  AND Task_Line_Number = ''1''  ORDER BY DEX_ROW_ID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13876","exec sp_cursorfetch 180220585,16,1,1"
"13877","exec sp_cursorclose 180220585"
"13878","declare @p1 int
set @p1=180220587
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM HS_Tache WITH(NOLOCK) WHERE HS_Tache.Service_Call_ID = ''160924-0831''  AND HS_Tache.Task_Code = ''FA0018''  AND HS_Tache.Task_Line_Number = ''1'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13879","exec sp_cursorfetch 180220587,16,1,1"
"13880","exec sp_cursorclose 180220587"
"13881","exec sp_cursorclose 180220583"
"13882","declare @p1 int
set @p1=180220589
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT MAX(Task_Line_Number) FROM HS_Tache WHERE Service_Call_ID = ''160924-0831''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13883","exec sp_cursorfetch 180220589,16,1,1"
"13884","exec sp_cursorclose 180220589"
"13885","declare @p1 int
set @p1=180220591
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT FName + '' '' + LName FROM GMP_USAGERS WHERE UsagerID = ''NB50642V'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13886","exec sp_cursorfetch 180220591,16,1,1"
"13887","exec sp_cursorclose 180220591"
"13888","declare @p1 int
set @p1=180220593
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT FName + '' '' + LName FROM GMP_USAGERS WHERE UsagerID = ''NB50642V'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13889","exec sp_cursorfetch 180220593,16,1,1"
"13890","exec sp_cursorclose 180220593"
"13891","declare @p1 int
set @p1=180220595
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT * FROM HS_Tache  WHERE Service_Call_ID = ''160924-0831''  AND Task_Code = ''U0004''  AND Task_Line_Number = ''5'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13892","exec sp_cursorfetch 180220595,16,1,1"
"13893","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"13894","INSERT INTO HS_Tache (         CUSTNMBR         , ADRSCODE         , Service_Call_ID         , Equipment_ID         , Task_Code         , Task_Description         , Task_Line_Number         , SeqNumbr         , Estimate_Hours         , Time_Zone         , Completion_Date         , Task_Status          , Task_Answer         , Notes         , Partenaire         , CreateurUser         , CreateurDate         , ModifUser         , ModifDate         , DateMinimale         , DateMaximale         , Completion_Time         , DateAjoutBlaster  )  VALUES ('CL00152815' ,'SERVICE' ,'160924-0831' ,'' ,'U0004' ,'DELEGUE A' ,'5' ,'5' ,0 ,'1' ,CONVERT(DATETIME,'2016-11-10') ,'COMPLETE' ,'nb50642V' ,'Compte transféré à Nawel Benazza V par ed50617 via le gestionnaire de tâches, pour toute information ou si un client appel veuillez communiquer avec Nawel Benazza V.' ,'nb50642V' ,'ed50617' ,CONVERT(DATETIME,'2016-11-10 13:41:49') ,'ed50617' ,CONVERT(DATETIME,'2016-11-10 13:41:49') ,CONVERT(DATETIME,'2016-11-10') ,CONVERT(DATETIME,'2016-12-10') ,CONVERT(DATETIME,'2016-11-10 13:41:49') ,CONVERT(DATETIME,'1900-01-01') )"
"13895","INSERT INTO HS_Tache (         CUSTNMBR         , ADRSCODE         , Service_Call_ID         , Equipment_ID         , Task_Code         , Task_Description         , Task_Line_Number         , SeqNumbr         , Estimate_Hours         , Time_Zone         , Completion_Date         , Task_Status          , Task_Answer         , Notes         , Partenaire         , CreateurUser         , CreateurDate         , ModifUser         , ModifDate         , DateMinimale         , DateMaximale         , Completion_Time         , DateAjoutBlaster  )  VALUES ('CL00152815' ,'SERVICE' ,'160924-0831' ,'' ,'U0004' ,'DELEGUE A' ,'5' ,'5' ,0 ,'1' ,CONVERT(DATETIME,'2016-11-10') ,'COMPLETE' ,'nb50642V' ,'Compte transféré à Nawel Benazza V par ed50617 via le gestionnaire de tâches, pour toute information ou si un client appel veuillez communiquer avec Nawel Benazza V.' ,'nb50642V' ,'ed50617' ,CONVERT(DATETIME,'2016-11-10 13:41:49') ,'ed50617' ,CONVERT(DATETIME,'2016-11-10 13:41:49') ,CONVERT(DATETIME,'2016-11-10') ,CONVERT(DATETIME,'2016-12-10') ,CONVERT(DATETIME,'2016-11-10 13:41:49') ,CONVERT(DATETIME,'1900-01-01') )"
"13896","declare @p1 int
set @p1=180220597
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'select top 1 JoursAncienDelegue from gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13897","exec sp_cursorfetch 180220597,16,1,1"
"13898","exec sp_cursorclose 180220597"
"13899","declare @p1 int
set @p1=180220599
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT * FROM SV000805  WHERE CUSTNMBR = ''CL00152815''  AND ADRSCODE = ''SERVICE''  AND Reference_ID = ''160924-0831'' AND WS_Note_Type = ''S'' AND Note_Service_Index = ''5'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13900","exec sp_cursoroption 180220599,1,0"
"13901","exec sp_cursorfetch 180220599,16,1,1"
"13902","exec sp_cursorclose 180220599"
"13903","declare @p1 int
set @p1=180220601
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT *, IsNull(GMP_POSTAL.VenteSeul, 0) as VenteSeulement, IsNull(GMP_POSTAL.PasService, 1) as PasService, IsNull(GMP_POSTAL.SiSPA, 0) as SiSPA FROM HS_Client WITH(NOLOCK) LEFT JOIN GMP_POSTAL ON GMP_POSTAL.Postal = left(REPLACE(HS_Client.ZIP, '' '', ''''), (select max(LEN(Postal)) from GMP_POSTAL Where Postal = LEFT(REPLACE(HS_Client.ZIP, '' '', ''''), LEN(gmp_Postal.Postal)))) WHERE HS_Client.CUSTNMBR = ''CL00152815''  AND HS_Client.ADRSCODE = ''SERVICE'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13904","exec sp_cursorfetch 180220601,16,1,1"
"13905","declare @p1 int
set @p1=180220603
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'  SELECT (AGPERAMT_2+AGPERAMT_3) as Tot3089, (AGPERAMT_4+AGPERAMT_5+AGPERAMT_6+AGPERAMT_7) as Tot90Plus  FROM HYSEC..RM00103 WHERE CUSTNMBR=''CR01371167''     AND CUSTBLNC > 0 ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13906","exec sp_cursorfetch 180220603,16,1,1"
"13907","exec sp_cursorclose 180220603"
"13908","declare @p1 int
set @p1=180220605
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select CUSTNMBR from HS_CHANGEMENT_ADRESSE  where CUSTNMBR =''CL00152815''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13909","exec sp_cursorfetch 180220605,16,1,1"
"13910","exec sp_cursorclose 180220605"
"13911","exec sp_cursorclose 180220601"
"13912","declare @p1 int
set @p1=180220607
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT FName + '' '' + LName FROM GMP_USAGERS WHERE UsagerID = ''ED50617'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13913","exec sp_cursorfetch 180220607,16,1,1"
"13914","exec sp_cursorclose 180220607"
"13915","declare @p1 int
set @p1=180220609
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM sv000805  WHERE CustNmbr = ''CL00152815''   AND AdrsCode = ''SERVICE''   AND Service_Call_ID = ''160924-0831''   AND WS_Note_Type = ''S''   AND Note_Service_Index = ''5''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13916","exec sp_cursoroption 180220609,1,0"
"13917","exec sp_cursorfetch 180220609,16,1,1"
"13918","exec sp_cursorclose 180220609"
"13919","declare @p1 int
set @p1=180220611
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM sv000805  WHERE CustNmbr = ''CL00152815''   AND AdrsCode = ''SERVICE''   AND Reference_ID = ''160924-0831''   AND WS_Note_Type = ''S''   AND Note_Service_Index = ''5''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13920","exec sp_cursoroption 180220611,1,0"
"13921","exec sp_cursorfetch 180220611,16,1,1"
"13922","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"13923","INSERT INTO sv000805 (        CustNmbr, AdrsCode, Reference_ID, Service_Call_ID       , Ws_Note_Type, Note_Service_Index, Note_Author       , Reminder, Reminder_Date, Reminder_Finish, Date1       , Time1, CustName, UserName, MdfUsrID, Record_Notes,Reminder_Author ) VALUES(   'CL00152815'   , 'SERVICE'   , '160924-0831'   , '160924-0831'   , 'S'   , '5'   , 'ed50617'   , '0'   , CONVERT(DATETIME,'1900-01-01 00:00:00')   , CONVERT(DATETIME,'1900-01-01')   , CONVERT(DATETIME,'2016-11-10')   , '13:41:49'   , 'SERGE SAUVAGEAU'   , 'Evelyne Djuikom'   , 'ed50617'   , 'Compte transféré à Nawel Benazza V par ed50617 via le gestionnaire de tâches, pour toute information ou si un client appel veuillez communiquer avec Nawel Benazza V.'   , '')"
"13924","INSERT INTO sv000805 (        CustNmbr, AdrsCode, Reference_ID, Service_Call_ID       , Ws_Note_Type, Note_Service_Index, Note_Author       , Reminder, Reminder_Date, Reminder_Finish, Date1       , Time1, CustName, UserName, MdfUsrID, Record_Notes,Reminder_Author ) VALUES(   'CL00152815'   , 'SERVICE'   , '160924-0831'   , '160924-0831'   , 'S'   , '5'   , 'ed50617'   , '0'   , CONVERT(DATETIME,'1900-01-01 00:00:00')   , CONVERT(DATETIME,'1900-01-01')   , CONVERT(DATETIME,'2016-11-10')   , '13:41:49'   , 'SERGE SAUVAGEAU'   , 'Evelyne Djuikom'   , 'ed50617'   , 'Compte transféré à Nawel Benazza V par ed50617 via le gestionnaire de tâches, pour toute information ou si un client appel veuillez communiquer avec Nawel Benazza V.'   , '')"
"13925","exec sp_cursorclose 180220611"
"13926","declare @p1 int
set @p1=180220613
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT SUM(Estimate_Hours) FROM HS_Tache WHERE CUSTNMBR = ''CL00152815'' AND Service_Call_ID = ''160924-0831''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13927","exec sp_cursorfetch 180220613,16,1,1"
